date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLF,CLP,CNH,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPD,XPF,XPT,YER,ZAR,ZMW,ZWL
2017-06-20,3.673014,68.138,119.439449,481.202417,1.783103,165.9165,16.143,1.319993,1.795,1.7,1.756747,2,80.876888,1.75644,0.377206,1727.650305,1,1.390342,6.962089,3.3271,1,3.59117516e-4,64.427218,10.316548,1.908786,2.013489,1.32706,1449.579832,0.974705,0.024652,663.8,6.81951,6.827151,3031.41,568.225226,1,25.5,99.3,23.598232,178.97,6.679592,47.359929,108.832995,18.1435,15.339504,23.150418,0.89795,2.044249,0.791668,0.791668,2.40556,0.791668,4.437653,0.791668,45.875,9109.25,7.356171,208.323623,7.799487,23.505377,6.660534,61.947403,277.5935,13289.970876,3.54028,0.791668,64.655,1170.000369,32464.5,103.71,0.791668,129.974663,0.710005,111.33966667,103.455,68.487499,4080,442.201085,900.09,1141.91,0.303304,0.834697,324.182698,8266.2,1507.612443,153.536438,93.995007,13.106233,1.400738,9.793299,18.321089,3125.3,55.287005,1372.48506,2353.615598,8.047397,361.129247,34.819667,15.500232,725.222458,18.22325,4.284033,60.003288,13.106676,324,29.645092000000002,8.54806,103.321199,1.38153,0.384963,1,3.277452,3.179653,50.087,105.043304,3.81348,5659.277124,3.6748,4.130423,109.306583,59.595,847.010575,3.7502,7.841384,13.60391,6.688098,8.779988,1.388919,0.791668,7491.131123,580.09407,7.5175,123.470152,21949.224732,8.764848,214.346667,13.087085,34.030969,8.825257,3.509961,2.465497,2.26218,3.544925,6.7417,30.3615,2237,26.082144,3593.15,1,28.30526,3929.913462,10.10785,22712.339037,107.617513,2.506021,588.991659,0.06053547,8.0327e-4,2.70255,0.725467,588.902037,0.00114088,107.643749,0.00108007,250.275,13.07275,9.210834,322.387247
2017-06-21,3.673014,68.080497,118.807746,479.903225,1.776957,165.9165,16.216437,1.324585,1.794996,1.7,1.751466,2,80.614631,1.751773,0.377162,1724.850305,1,1.391199,6.939366,3.3351,1,3.68742944e-4,64.489209,10.272304,1.912995,2.006926,1.332782,1459,0.972526,0.024712,665.083664,6.831068,6.828476,3027.15,565.692717,1,25.5,99.125,23.55756,178.97,6.661449,47.203668,108.74,18.1415,15.339108,23.07477,0.895515,2.067451,0.78896,0.78896,2.40794,0.78896,4.425,0.78896,45.88,9006.95,7.328223,207.656843,7.799974,23.471023,6.6421,62.064343,277.047333,13312.918415,3.54265,0.78896,64.5516,1164.809957,32471,105.13,0.78896,129.658642,0.710005,111.32748006,103.447294,68.536,4095,441.276628,899.91,1143.5,0.303281,0.831978,325.749503,8251,1504.524887,153.051259,93.996255,13.032555,1.400771,9.776404,18.289976,3155.251613,55.173237,1371.21006,2353.963073,8.021519,359.891814,34.750667,15.500232,725.004944,18.234375,4.287,59.505818,13.034254,324.5,29.52756,8.5285,103.051338,1.379761,0.384931,1,3.269968,3.168916,50.2885,104.831508,3.810675,5578.2,3.6745,4.117375,109.026554,60.275,833.564879,3.7501,7.841384,13.603038,6.666325,8.748563,1.38892,0.78896,7471.7701,577.018737,7.5175,124.337433,21972.979582,8.73596,214.35,13.025836,33.9915,8.786553,3.50998,2.458005,2.263432,3.531424,6.719789,30.458,2236.8,25.976665,3584.5,1,28.325451,3922.125641,10.14375,22727.18716,107.451206,2.508986,588.031563,0.06057669,8.0054e-4,2.70255,0.725308,588.325941,0.00112424,107.309057,0.00107528,250.294142,13.07381,9.210759,322.387247
2017-06-22,3.673014,68.14,118.683355,480.832417,1.782248,165.9165,16.149,1.325952,1.794996,1.7,1.753793,2,80.875888,1.754425,0.377179,1727.325305,1,1.39065,6.958465,3.3411,1,3.65310148e-4,64.591319,10.284644,1.932389,2.012447,1.323176,1470.906338,0.9718,0.024658,663.4,6.835971,6.83465,3026.7,568.830226,1,25.5,99.3,23.58085,178.77,6.6707,47.337717,108.581,18.1425,15.337484,23.138811,0.896872,2.067451,0.788728,0.788728,2.40972,0.788728,4.375367,0.788728,45.885,9101,7.348431,206.379462,7.79905,23.501548,6.6536,62.242002,277.21,13318.331891,3.54705,0.788728,64.5999,1163.419913,32470,104.22,0.788728,130.058003,0.710205,111.29433333,103.6,68.679824,4083.333333,441.626628,899.91,1140.04,0.303673,0.83428,328.279682,8253.683333,1504.524887,153.521438,93.996255,13.025221,1.402906,9.786217,18.291656,3103.75,55.233966,1366.38506,2353.762923,8.044582,361.036747,34.8145,15.519984,724.963277,18.127,4.287,59.963491,13.025221,315.485669,29.610282,8.49156,103.388697,1.376949,0.384844,1,3.268453,3.178069,50.3345,104.938162,3.79815,5589.3,3.6746,4.10318,109.1375,59.8785,846.845575,3.7513,7.864513,13.532962,6.68477,8.755118,1.390047,0.788728,7521.810105,578.716731,7.5175,123.66165,22009.645352,8.759917,214.343333,13.006186,33.98,8.787164,3.50998,2.460193,2.26375,3.513398,6.738241,30.441706,2236.6,26.053801,3592.4,1,28.353428,3929.363462,9.995002,22709.417756,106.786833,2.5233120000000002,588.774861,0.06020832,7.9912e-4,2.70255,0.725165,588.73741,0.00112743,107.375123,0.00107801,250.306642,12.978957,9.276588,322.387247
2017-06-23,3.673014,68.104697,118.025,478.81,1.775643,165.9165,16.178,1.321179,1.795249,1.7,1.747247,2,80.579803,1.7471,0.377086,1725,1,1.386143,6.932746,3.34295,1,3.65845405e-4,64.549119,10.215231,1.923752,2.005047,1.32625,1466,0.969395,0.024552,661.2,6.839478,6.8367000000000004,3021.38,566.945059,1,25.5,98.85,23.469657,178.77,6.6437,47.160653,108.525142,18.1415,15.339581,23.053629,0.893416,2.055151,0.786442,0.786442,2.40842,0.786442,4.425,0.786442,45.875,9067.6,7.3204,207.470729,7.800088,23.392302,6.62494,61.832177,276.662,13317.808403000001,3.5406,0.786442,64.48715,1164.1,32470,103.46,0.786442,129.608642,0.710808,111.28783333,103.705508,68.776181,4080.95,439.7,900.09,1134.905,0.303548,0.831262,325.477374,8232.1,1503.662443,152.81171,93.996255,12.890597,1.397581,9.751259,18.307,3114.8,55.01,1358.65,2351.409399,8.014214,359.724314,34.840667,15.500232,730.25,18.00365,4.288626,59.505818,12.890597,314.485599,29.706673,8.449585,102.948272,1.373344,0.384969,1,3.256,3.166411,50.109333,104.531247,3.772518,5563.2,3.67499,4.08795,108.563881,59.4528,841.721784,3.7506,7.887789,13.266617,6.660279,8.722961,1.3872,0.786442,7524.585761,577.047491,7.5175,124.453753,21923.181116,8.72797,214.346667,12.898108,33.92875,8.783334,3.499986,2.483497,2.261889,3.508526,6.713405,30.378,2238.1,25.970542,3576.1,1,28.283848,3920.3,9.985022,22713.510267,107.091699,2.532019,587.032063,0.05979433,7.9565e-4,2.70255,0.724885,587.214884,0.0011607,106.923102,0.0010746,250.3,12.932028,9.252173,322.322775
2017-06-24,3.673014,68.104697,118.025,478.81,1.775643,165.9165,16.178,1.32116,1.795249,1.7,1.747247,2,80.579803,1.747308,0.377088,1725,1,1.386143,6.932746,3.34295,1,3.80873304e-4,64.530623,10.215231,1.923752,2.005047,1.32625,1466,0.969321,0.024548,661.2,6.839478,6.8367000000000004,3020.05,566.945059,1,25.5,98.85,23.466,178.77,6.643635,47.160653,108.53,18.1415,15.327593,23.053629,0.893416,2.055151,0.7862,0.7862,2.407099,0.7862,4.425,0.7862,45.875,9067.6,7.3204,207.470729,7.7999,23.392302,6.625025,61.832177,276.625702,13317.365715,3.5406,0.7862,64.48715,1164.1,32470,103.46,0.7862,129.608642,0.710808,111.29663992,103.705508,68.83293,4080.95,439.7,899.91,1134.85,0.303548,0.831262,325.477374,8232.1,1503.662443,152.81171,93.996255,12.890597,1.397581,9.768079,18.307,3114.8,55.01,1358.65,2352.364046,8.014214,359.724314,34.812,15.500232,730.25,18.00365,4.288626,59.505818,12.890597,314.485599,29.706673,8.448087,102.948272,1.3724,0.38497,1,3.256,3.166411,50.1095,104.531247,3.77225,5563.2,3.67499,4.08795,108.545,59.4528,841.721784,3.7506,7.887789,13.2665,6.660279,8.720751,1.387502,0.7862,7524.775286,577.047491,7.5175,124.478647,21915.441775,8.72797,214.346667,12.898108,33.929,8.783334,3.499986,2.483497,2.260468,3.508712,6.713405,30.378,2238.1,25.970542,3576.1,1,28.284037,3920.3,9.985022,22721.933736,107.113108,2.531172,586.911601,0.05979433,7.9565e-4,2.70255,0.724885,587.094422,0.0011607,106.923102,0.0010746,250.3,12.931594,9.252173,322.387247
2017-06-25,3.673014,67.9365,118.08,478.79,1.775558,165.9165,16.1015,1.3207,1.795249,1.7,1.747183,2,80.577,1.747201,0.376355,1723.55,1,1.383039,6.932596,3.342986,1,3.8570872e-4,64.514601,10.214709,1.923661,2.004963,1.325951,1470.906338,0.969159,0.024548,662.155,6.8379,6.833234,3020.68,567.065,1,25.5,98.85,23.459468,178.77,6.640147,47.159403,108.532,18.1335,15.32,23.053129,0.892867,2.055151,0.784607,0.784607,2.40946,0.784607,4.35905,0.784607,45.875,9067.2,7.32,207.5,7.799403,23.391802,6.6251,61.68,276.424,13308.866333,3.540435,0.784607,64.5055,1164.1,32470,103.4,0.784607,129.575,0.710808,111.24075,103.703008,68.837499,4080.75,439.7,900.09,1134.31,0.303196,0.83123,325.467374,8231.75,1502.75,152.80921,93.996255,12.889889,1.397503,9.767501,18.306,3114.65,55.004852,1355.074087,2351.416667,8.01385,359.605,34.7825,15.500232,723.565,18.00525,4.288442,59.505818,12.889889,314.46,29.7055,8.441739,102.94,1.372856,0.38496,1,3.252548,3.1662689999999998,50.087657,104.55,3.770563,5562.95,3.674993,4.087937,108.545,59.4584,842.83,3.750384,7.887789,13.265732,6.65995,8.713113,1.387102,0.784607,7522.5,577.08,7.5175,124.453753,21883.950196,8.7277,214.316667,12.898217,33.94,8.782936,3.499986,2.483497,2.260162,3.506805,6.7131,30.259,2227.835079,25.969542,3575.9,1,28.284037,3920.15,9.985022,22700.333333,107.033333,2.53028,586.239207,0.05982651,7.9528e-4,2.70255,0.724885,586.834021,0.00116148,106.923102,0.00107528,250.3,12.927415,9.2517,322.387247
2017-06-26,3.673014,68.074,118.07545,480.138225,1.779306,165.9165,16.306,1.318566,1.794996,1.7,1.748857,2,80.746812,1.75029,0.377188,1725.950305,1,1.387741,6.947402,3.296303,1,3.98106605e-4,64.481266,10.221364,1.923839,2.009305,1.3257,1470.906338,0.972428,0.024552,660.699278,6.858339,6.839756,3021.066667,568.382726,1,25.5,98.875,23.519421,178.57,6.649381,47.266145,108.63,18.141,15.33,23.112189,0.894218,2.050098,0.785934,0.785934,2.40732,0.785934,4.348334,0.785934,46.05,9086.7,7.335928,207.896724,7.799105,23.420253,6.632093,62.240252,276.576667,13308.60225,3.51875,0.785934,64.4313,1165.009957,32470,104.45,0.785934,129.668642,0.710005,111.86958555,103.695,68.837499,4085.941667,439.756281,899.91,1133.52,0.303668,0.833019,324.720565,8247.95,1506.037443,153.088759,93.500737,12.874975,1.400364,9.768756,18.2835,3089.525758,55.004,1368.81006,2350.75,8.029869,360.417574,34.8015,15.510083,724.999944,17.913012,4.288074,60.004931,12.874975,324.320265,29.919472,8.48533,103.061338,1.373004,0.38516,1,3.251503,3.173073,50.238637,104.825635,3.758565,5553.05,3.79365,4.091995,108.5625,58.9292,844.333547,3.75165,7.90181,13.184653,6.674304,8.719764,1.388557,0.785934,7522.5,578.413398,7.5175,124.478647,21899.343764,8.74685,214.343333,12.879066,33.97,8.808968,3.50998,2.487505,2.265537,3.500981,6.727449,30.328,2237.1,26.046657,3588.65,1,28.365637,3928.6,10.112282,22699.321657,107.784733,2.504109,586.920085,0.06031364,8.0436e-4,2.70255,0.724998,587.158023,0.00115126,106.951982,0.00108942,250.319142,12.871671,9.226593,322.322775
2017-06-27,3.673014,67.637,116.893015,477.305,1.779241,165.9165,16.390878,1.318264,1.794996,1.7,1.736001,2,80.248044,1.723085,0.377189,1724.65061,1,1.386986,6.903903,3.313609,1,3.88374024e-4,64.479916,10.157172,1.927745,2.009207,1.31844,1470.906338,0.960661,0.024628,661.564278,6.811131,6.8129,3028.47,568.120226,1,25.5,97.625,23.22234,178.57,6.558425,46.962478,108.1095,18.143,15.337329,22.966835,0.882069,2.049698,0.780451,0.780451,2.40722,0.780451,4.35703,0.780451,46.05,9029.9,7.332471,207.993232,7.800583,23.265939,6.532748,61.588354,273.545,13310.639967,3.516855,0.780451,64.5348,1161.834957,32470,103.535334,0.780451,129.656523,0.710005,112.20153333,103.705,68.874501,4083.333333,433.980507,900.09,1140.95,0.3037,0.833004,322.042612,8250.566667,1504.524887,152.1702,93.996255,12.851363,1.391902,9.7695,18.19018,3077.651515,54.826,1360.505556,2347.24197,8.031285,358.125,34.767,15.469644,725.016611,17.9779,4.2885,60.159973,12.851363,313.00821,29.756038,8.42062,103.132132,1.376358,0.38528,1,3.253995,3.153222,50.339797,104.185772,3.73775,5518.15,3.7757,4.025293,106.87091,59.3864,840.573568,3.7509,7.90339,13.602846,6.675253,8.61127,1.387,0.780451,7463.137176,575.148319,7.5175,124.453753,21759.050353,8.746105,214.346667,12.794116,33.98,8.808808,3.50998,2.436599,2.267528,3.524713,6.68536,30.393,2237.1,25.901638,3564.2,1,28.345388,3923.076923,10.14895,22714.909857,107.651412,2.505254,580.37509,0.05989639,8.0041e-4,2.70255,0.7229,580.855476,0.00116105,106.232869,0.00108492,250.319142,13.014187,9.234576,322.322775
2017-06-28,3.673097,67.9735,116.109603,479.172298,1.776952,165.9165,16.409,1.309509,1.794996,1.7,1.718976,2,80.643056,1.71748,0.377223,1724.875305,1,1.382094,6.938108,3.281,1,3.86988472e-4,64.495987,10.218,1.935219,2.006599,1.303917,1492.869875,0.959642,0.024642,663.5,6.794932,6.8006,3020.67,566.915059,1,25.5,97.3,23.111044,178.77,6.535969,47.195181,108.075,18.12,15.338666,23.080632,0.878815,2.042099,0.772798,0.772798,2.40596,0.772798,4.412667,0.772798,46.05,9083.4,7.323129,207.646843,7.804215,23.3598,6.5139,61.925033,272.0214,13324.457926,3.503475,0.772798,64.5219,1182.5,32468.5,103.59,0.772798,129.499709,0.710005,112.35625,103.655,68.885848,4084.916667,432.65,900.09,1138.72,0.303331,0.83187,323.35393,8235.95,1504.237443,153.000319,93.996255,12.982117,1.398659,9.668571,18.121054,3082.350758,54.826,1368.13506,2346.590205,8.023793,359.766814,34.6035,15.475482,724.440367,17.83307,4.299135,60.004931,12.982117,350.5,29.884204,8.430737,103.124632,1.369324,0.385354,1,3.251987,3.176581,50.5065,104.623428,3.720945,5550.55,3.73505,3.997204,106.315,59.2517,843.846047,3.7504,7.90181,13.6225,6.665265,8.542243,1.382146,0.772798,7502.880411,578.165064,7.5075,123.946193,21673.54599,8.734485,214.343333,13.01923,33.964,8.79495,3.499972,2.427792,2.252541,3.512746,6.718525,30.431,2237.3,26.036536,3581.85,1,28.353428,3921.188462,10.06725,22727.34751,106.858183,2.499811,577.731648,0.0594389,8.0011e-4,2.70255,0.720685,579.891243,0.00116352,105.270012,0.00108383,250.325,12.941575,9.259146,322.322775
2017-06-29,3.672896,67.8755,116,478.927298,1.774502,165.9165,16.49,1.301184,1.795504,1.6861,1.709636,2,80.543437,1.709615,0.377191,1723.725305,1,1.380005,6.929441,3.3041,1,3.90420258e-4,64.599974,10.189438,1.930796,2.004019,1.298689,1486,0.955545,0.024692,665.2,6.791478,6.787252,3046.15,566.795119,1,25.5,96.775,22.944352,178.77,6.500269,47.129066,107.775,18.122,15.338207,23.001125,0.874153,2.042099,0.768733,0.768733,2.40658,0.768733,4.367033,0.768733,46.06,9057.25,7.315788,207.39997,7.804892,23.375,6.4798,61.833884,270.88,13322.914412,3.490615,0.768733,64.7951,1163.984957,32468,102.28,0.768733,129.333493,0.710607,111.99333539,103.64,69.012689,4082.366667,430.329758,900.09,1147.2,0.303318,0.830861,320.971483,8223.65,1503.287443,153.5,93.5,12.928939,1.396943,9.634571,18.08491,3029.15,54.824,1370.12012,2345.311413,8.017932,359.205099,34.526,15.500347,725.48,18.043276,4.2945,60.003288,12.928939,314.100725,29.826545,8.3788,103.011513,1.368204,0.385199,1,3.251438,3.16445,50.543344,104.526247,3.707628,5546.45,3.7349,3.993788,105.50014,59.455,834.75744,3.7498,7.872287,13.620051,6.656934,8.460045,1.378866,0.768733,7474.242597,577.018737,7.5075,124.095708,21500.757842,8.72383,214.34,12.918039,34.004,8.787648,3.504975,2.415795,2.255482,3.525223,6.710124,30.368,2237.1,26.020032,3576.45,1,28.365637,3934.988462,10.13835,22711.201353,106.765939,2.503096,574.535215,0.06006978,8.0233e-4,2.70255,0.719101,576.116257,0.00117473,104.694038,0.00108343,250.306642,12.99917,9.147993,322.387247
2017-06-30,3.673014,67.8625,115.982238,479.227298,1.7766,165.9165,16.6235,1.300399,1.795504,1.68605,1.711949,2,80.445452,1.71187,0.377085,1725.05,1,1.376642,6.936763,3.3077,1,3.99119144e-4,64.582876,10.221066,1.9373,2.006204,1.29625,1486,0.95846,0.024652,664.2,6.778972,6.77725,3044.03,566.855059,1,25.5,96.725,22.8646,178.77,6.5046,47.190431,107.750311,18.1215,15.350732,23.185287,0.87512,2.042099,0.767607,0.767607,2.4054,0.767607,4.371599,0.767607,46.06,9066.65,7.322482,207.626843,7.80753,23.305322,6.486529,62.051435,270.529,13327.339453,3.48843,0.767607,64.613,1165.75,32468,101.87,0.767607,129.303493,0.708901,112.405,103.652719,69.11744,4090,431.475,899.91,1145.2,0.303309,0.831801,321.261483,8236.8,1505.1,153.202538,93.5,13.039786,1.398366,9.635846,18.065636,3019.25,53.955,1363.4,2345.286864,8.023779,359.726814,34.467333000000004,15.500347,725.055,18.126175,4.293505,59.505818,13.039786,313.991088,29.838906,8.346605,103.20536,1.363271,0.385088,1,3.241125,3.16818,50.444333,104.628428,3.703567,5569.4,3.7337,3.993295,105.487675,58.9022,843.71,3.7503,7.872287,13.533862,6.664008,8.428859,1.3766,0.767607,7440.372748,577.44,7.4975,124.111988,21483.066373,8.73376,214.34,13.046047,33.92225,8.798286,3.499986,2.466005,2.244485,3.521003,6.717164,30.433,2239.2,26.030646,3588.1,1,28.31064,3949.45,10.12455,22715.918736,106.792716,2.525396,574.885424,0.06015945,8.0541e-4,2.70255,0.718707,576.458979,0.00118556,104.876591,0.00107876,250.325,13.095065,9.107665,322.322775
2017-07-01,3.673014,67.8625,115.982238,479.227298,1.7766,165.9165,16.6235,1.300559,1.795504,1.68605,1.711949,2,80.445452,1.71187,0.377085,1725.05,1,1.376642,6.936763,3.3077,1,4.05862061e-4,64.619866,10.221066,1.9373,2.006204,1.29658,1486,0.95846,0.024652,663.9,6.78064,6.77755,3044.03,566.855059,1,25.5,96.725,22.8636,178.77,6.5062,47.190431,107.750311,18.117,15.337516,23.185287,0.875305,2.042099,0.767595,0.767595,2.393502,0.767595,4.371599,0.767595,46.06,9066.65,7.322482,207.626843,7.8075,23.305322,6.486529,62.051435,270.4,13332.663629,3.48843,0.767595,64.6122,1165.75,32468,101.82,0.767595,129.303493,0.708901,112.405,103.652719,69.197605,4090,431.475,899.91,1145.6,0.303309,0.831801,321.261483,8236.8,1505.1,153.202538,93.5,13.039786,1.398366,9.635846,18.065636,3019.25,53.955,1363.4,2344.41834,8.023779,359.726814,34.467333000000004,15.500347,725.055,18.12575,4.293505,59.505818,13.039786,313.991088,29.838906,8.346605,103.20536,1.363736,0.385088,1,3.241125,3.16818,50.396,104.628428,3.70355,5569.4,3.7337,3.993298,105.487675,58.905,843.71,3.7503,7.872287,13.533862,6.664008,8.4235,1.3765,0.767595,7462.500165,577.44,7.4975,124.111988,21452.670428,8.73376,214.353333,13.046047,33.9135,8.798286,3.499986,2.466005,2.244453,3.520006,6.717164,30.417,2239.2,26.030646,3588.1,1,28.31064,3949.45,10.12455,22709.07319,106.746754,2.5254,574.771031,0.06015945,8.0541e-4,2.70255,0.718707,576.344606,0.00118556,104.876591,0.00107876,250.325,13.097495,9.107665,322.387247
2017-07-02,3.673038,67.8625,115.982238,479.227298,1.7766,165.649168,16.462,1.300921,1.795504,1.68605,1.711949,2,80.445452,1.71187,0.377085,1725.05,1,1.376642,6.936763,3.297995,1,3.94012321e-4,64.592768,10.221066,1.9373,2.006204,1.297522,1486,0.958845,0.024648,663.9,6.777364,6.778325,3044.79,566.855059,1,25.5,96.725,22.852625,178.77,6.510408,47.190431,107.750311,18.125,15.34,23.185287,0.875394,2.042099,0.768304,0.768304,2.40479,0.768304,4.371599,0.768304,46.06,9066.65,7.322482,207.626843,7.80675,23.305322,6.486529,62.051435,270.34,13324.580458,3.489085,0.768304,64.618581,1165.75,32468,101.86,0.768304,129.303493,0.708901,112.23972561,103.652719,69.22065,4090,431.475,900.09,1145.81,0.303309,0.831801,321.261483,8236.8,1505.1,153.202538,93.5,13.039786,1.398366,9.635846,18.065636,3019.25,53.955,1363.4,2344.416667,8.023779,359.726814,34.467333000000004,15.500347,725.055,18.094286,4.2935,59.505818,13.039786,313.991088,29.838906,8.3422,103.20536,1.363605,0.385088,1,3.241125,3.16818,50.396,104.628428,3.70365,5569.4,3.7337,3.996405,105.487675,58.9156,843.71,3.75,7.872287,13.533862,6.664008,8.425356,1.376486,0.768304,7462.5,577.44,7.4975,124.136812,21446.5,8.73376,214.35,13.046047,33.93125,8.798286,3.499986,2.466005,2.2427,3.519894,6.717164,30.432,2239.2,26.030646,3588.1,1,28.31064,3949.45,10.12455,22706,106.920087,2.519733,574.594349,0.06012868,8.0534e-4,2.70255,0.718707,576.131522,0.00118068,104.876591,0.00107701,250.325,13.063488,9.107665,322.387247
2017-07-03,3.672896,68.168,116.655635,481.027417,1.780164,165.9175,16.851,1.304478,1.795752,1.68605,1.719488,2,80.900598,1.720153,0.377255,1727.600305,1,1.382849,6.958279,3.302,1,3.86560258e-4,64.690668,10.239469,1.941284,2.010173,1.299366,1492.869875,0.96326,0.024542,662.5,6.7958,6.800113,3046.386667,568.475452,1,25.5,97.3,22.973164,178.57,6.538331,47.336133,107.933207,17.95,15.34,23.257964,0.879313,2.042099,0.772306,0.772306,2.39878,0.772306,4.362668,0.772306,46.025,9109.8,7.33705,208.26,7.810671,23.348094,6.528327,62.091951,271.701667,13343.529295,3.502665,0.772306,64.8527,1165.909957,32483,102.36,0.772306,129.755,0.710005,113.39507796,103.652719,69.29015,4089.616667,433.6,900.09,1150.59,0.303322,0.83338,322.226036,8249.566667,1506.412443,153.650555,93.500553,13.191254,1.390687,9.666701,18.146529,3077.651515,54.0645,1369.63506,2345.333333,8.043064,360.597574,34.5145,15.510303,726.285,18.1855,4.298,60.004931,13.063,315.485669,29.884454,8.352315,103.808652,1.372024,0.385346,1,3.251763,3.178064,50.558,104.960662,3.73705,5585.05,3.641,4.0213,105.87,59.2699,846.940575,3.7503,7.872287,13.53604,6.677173,8.484238,1.38195,0.772306,7462.5,578.706731,7.4975,123.41485,21505,8.750522,214.353333,13.18821,33.995,8.815569,3.509961,2.439396,2.246889,3.555578,6.737953,30.534681,2237.3,26.009239,3620.908069,1,28.425988,3963.2,10.09395,22718.333333,107.220585,2.495741,576.826746,0.06179897,8.1742e-4,2.70255,0.720059,578.139568,0.0011792,105.164666,0.00110322,250.325,13.209192,9.15,322.322775
