University,State,Graduation Rate,% of Classes Under 20,Student-Faculty Ratio,Alumni Giving Rate
Boston College,MA,85,39,13,25
Brandeis University,MA,79,68,8,33
Brown University,RI,93,60,8,40
California Institute of Technology,CA,85,65,3,46
Carnegie Mellon University,PA,75,67,10,28
Case Western Reserve Univ.,OH,72,52,8,31
College of William and Mary,VA,89,45,12,27
Columbia University,NY,90,69,7,31
Cornell University,NY,91,72,13,35
Dartmouth College,NH,94,61,10,53
Duke University,NC,92,68,8,45
Emory University,GA,84,65,7,37
Georgetown University,DC,91,54,10,29
Harvard University,MA,97,73,8,46
Johns Hopkins University,MD,89,64,9,27
Lehigh University,PA,81,55,11,40
Massachusetts Inst. of Technology,MA,92,65,6,44
New York University,NY,72,63,13,13
Northwestern University,IL,90,66,8,30
Pennsylvania State Univ.,PA,80,32,19,21
Princeton University,NJ,95,68,5,67
Rice University,TX,92,62,8,40
Stanford University,CA,92,69,7,34
Tufts University,MA,87,67,9,29
Tulane University,LA,72,56,12,17
U. of California됙erkeley,CA,83,58,17,18
U. of California됛avis,CA,74,32,19,7
U. of California될rvine,CA,74,42,20,9
U. of California됣os Angeles,CA,78,41,18,13
U. of California됩an Diego,CA,80,48,19,8
U. of California됩anta Barbara,CA,70,45,20,12
U. of Chicago,IL,84,65,4,36
U. of Florida,FL,67,31,23,19
U. of Illinois됫rbana Champaign,IL,77,29,15,23
U. of Michigan되nn Arbor,MI,83,51,15,13
U. of North Carolina됚hapel Hill,NC,82,40,16,26
U. of Notre Dame,IN,94,53,13,49
U. of Pennsylvania,PA,90,65,7,41
U. of Rochester,NY,76,63,10,23
U. of Southern California,CA,70,53,13,22
U. of Texas되ustin,TX,66,39,21,13
U. of Virginia,VA,92,44,13,28
U. of Washington,WA,70,37,12,12
U. of Wisconsin됤adison,WI,73,37,13,13
Vanderbilt University,TN,82,68,9,31
Wake Forest University,NC,82,59,11,38
Washington University됩t. Louis,MO,86,73,7,33
Yale University,CT,94,77,7,50
