Player,Club,Kicks_TOT,Kicks_AVG,Handballs_TOT,Handballs_AVG,Disposals_TOT,Disposals_AVG,Cont Poss_TOT,Cont Poss_AVG,Uncont Poss_TOT,Uncont Poss_AVG,Disp eff %_TOT,Clangers_TOT,Clangers_AVG,Marks_TOT,Marks_AVG,Cont marks_TOT,Cont marks_AVG,Marks50_TOT,Marks50_AVG,Hit-outs_TOT,Hit-outs_AVG,Clearances_TOT,Clearances_AVG,Centre clr_TOT,Centre clr_AVG,Stoppages_TOT,Stoppages_AVG,Rebound50_TOT,Rebound50_AVG,Frees For_TOT,Frees For_AVG,Frees Agst_TOT,Frees Agst_AVG,Tackles_TOT,Tackles_AVG,One %s_TOT,One %s_AVG,Bounces_TOT,Bounces_AVG,Inside50_TOT,Inside50_AVG,Goals_TOT,Goals_AVG,Behinds_TOT,Behinds_AVG,Goal assists_TOT,Goal assists_AVG,Goal acc %_TOT,Matches_TOT,Time On Ground %_TOT
Emma Swanson,GWS,52,10.4,28,5.6,80,16,47,9.4,32,6.4,51.3,19,3.8,13,2.6,2,0.4,1,0.2,0,0,21,4.2,5,1,16,3.2,13,2.6,6,1.2,5,1,14,2.8,1,0.2,0,0,8,1.6,0,0,1,0.2,1,0.2,0,5,75.7
Emma Zielke,BL,65,8.1,27,3.4,92,11.5,49,6.1,38,4.8,57.6,12,1.5,18,2.3,1,0.1,2,0.3,1,0.1,20,2.5,7,0.9,13,1.6,9,1.1,13,1.6,3,0.4,41,5.1,7,0.9,0,0,11,1.4,3,0.4,0,0,1,0.1,60,8,79.8
Erin McKinnon,GWS,8,1.1,15,2.1,23,3.3,20,2.9,2,0.3,56.5,7,1,1,0.1,1,0.1,0,0,154,22,6,0.9,2,0.3,4,0.6,3,0.4,3,0.4,3,0.4,9,1.3,3,0.4,0,0,3,0.4,0,0,0,0,0,0,0,7,63.8
Erin Phillips,ADEL,124,15.5,36,4.5,160,20,110,13.8,39,4.9,57.5,24,3,23,2.9,8,1,8,1,1,0.1,40,5,11,1.4,29,3.6,3,0.4,27,3.4,8,1,30,3.8,6,0.8,2,0.3,37,4.6,10,1.3,8,1,4,0.5,38.5,8,97.9
Gabby O'Sullivan,FRE,32,4.6,35,5,67,9.6,35,5,26,3.7,52.2,16,2.3,6,0.9,0,0,1,0.1,0,0,12,1.7,2,0.3,10,1.4,4,0.6,1,0.1,6,0.9,31,4.4,2,0.3,0,0,10,1.4,1,0.1,5,0.7,3,0.4,14.3,7,82.4
Gabriella Pound,CARL,35,5,13,1.9,48,6.9,29,4.1,20,2.9,56.3,12,1.7,6,0.9,2,0.3,1,0.1,0,0,3,0.4,0,0,3,0.4,1,0.1,6,0.9,6,0.9,18,2.6,5,0.7,0,0,11,1.6,1,0.1,0,0,2,0.3,50,7,74.1
Gemma Houghton,FRE,36,5.1,26,3.7,62,8.9,37,5.3,20,2.9,53.2,19,2.7,11,1.6,6,0.9,3,0.4,19,2.7,13,1.9,4,0.6,9,1.3,2,0.3,6,0.9,10,1.4,28,4,3,0.4,0,0,13,1.9,3,0.4,5,0.7,0,0,37.5,7,71.6
Georgia Bevan,ADEL,53,6.6,12,1.5,65,8.1,32,4,35,4.4,44.6,14,1.8,8,1,0,0,0,0,0,0,3,0.4,0,0,3,0.4,5,0.6,8,1,1,0.1,25,3.1,5,0.6,0,0,19,2.4,1,0.1,1,0.1,0,0,50,8,65.3
Georgia Walker,COLL,5,2.5,3,1.5,8,4,5,2.5,3,1.5,62.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.5,0,0,3,1.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,2,40.1
Hannah Dunn,GWS,3,3,1,1,4,4,4,4,1,1,0,5,5,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.5
Hannah Scott,WB,68,9.7,21,3,89,12.7,32,4.6,51,7.3,59.6,24,3.4,15,2.1,1,0.1,0,0,0,0,3,0.4,0,0,3,0.4,23,3.3,4,0.6,8,1.1,23,3.3,22,3.1,1,0.1,18,2.6,1,0.1,0,0,1,0.1,100,7,92.7
Hannah Wallett,GWS,6,1.5,4,1,10,2.5,7,1.8,4,1,70,2,0.5,3,0.8,0,0,0,0,0,0,1,0.3,0,0,1,0.3,1,0.3,1,0.3,2,0.5,8,2,2,0.5,0,0,1,0.3,1,0.3,1,0.3,0,0,50,4,47
Harriet Cordner,MELB,18,2.6,11,1.6,29,4.1,18,2.6,15,2.1,58.6,13,1.9,4,0.6,1,0.1,1,0.1,16,2.3,4,0.6,1,0.1,3,0.4,1,0.1,1,0.1,8,1.1,23,3.3,3,0.4,0,0,4,0.6,1,0.1,1,0.1,0,0,33.3,7,42
Hayley Miller,FRE,48,6.9,10,1.4,58,8.3,28,4,31,4.4,56.9,11,1.6,15,2.1,1,0.1,1,0.1,0,0,3,0.4,0,0,3,0.4,6,0.9,4,0.6,2,0.3,15,2.1,7,1,9,1.3,13,1.9,0,0,1,0.1,1,0.1,0,7,89.3
Hayley Trevean,CARL,6,6,3,3,9,9,3,3,6,6,77.8,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,53.8
Hayley Wildes,WB,39,5.6,16,2.3,55,7.9,25,3.6,28,4,67.3,10,1.4,6,0.9,1,0.1,0,0,0,0,1,0.1,0,0,1,0.1,9,1.3,3,0.4,1,0.1,13,1.9,9,1.3,5,0.7,11,1.6,1,0.1,3,0.4,2,0.3,25,7,72.9
Heather Anderson,ADEL,40,5,13,1.6,53,6.6,20,2.5,30,3.8,54.7,12,1.5,7,0.9,1,0.1,0,0,1,0.1,2,0.3,1,0.1,1,0.1,9,1.1,1,0.1,2,0.3,9,1.1,15,1.9,4,0.5,4,0.5,0,0,0,0,1,0.1,0,8,66.3
Helen Roden,COLL,3,3,1,1,4,4,1,1,2,2,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.3
Isabella Ayre,CARL,13,2.2,5,0.8,18,3,8,1.3,10,1.7,72.2,7,1.2,7,1.2,1,0.2,5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,4,0.7,3,0.5,0,0,1,0.2,4,0.7,2,0.3,2,0.3,66.7,6,65.2
Isabella Rudolph,GWS,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.8
Jacinda Barclay,GWS,27,4.5,9,1.5,36,6,18,3,19,3.2,50,10,1.7,13,2.2,3,0.5,8,1.3,1,0.2,1,0.2,0,0,1,0.2,1,0.2,3,0.5,5,0.8,10,1.7,2,0.3,0,0,5,0.8,4,0.7,3,0.5,4,0.7,36.4,6,82.8
Jade Ransfield,BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaimee Lambert,WB,34,5.7,15,2.5,49,8.2,29,4.8,22,3.7,59.2,7,1.2,6,1,1,0.2,4,0.7,0,0,16,2.7,4,0.7,12,2,1,0.2,8,1.3,1,0.2,15,2.5,1,0.2,2,0.3,7,1.2,5,0.8,2,0.3,0,0,62.5,6,65.6
Jamie Stanton,BL,60,7.5,14,1.8,74,9.3,28,3.5,45,5.6,56.8,15,1.9,15,1.9,0,0,1,0.1,0,0,6,0.8,1,0.1,5,0.6,10,1.3,4,0.5,5,0.6,23,2.9,6,0.8,0,0,8,1,0,0,0,0,0,0,0,8,66.2
Jasmine Anderson,ADEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasmine Garner,COLL,52,7.4,10,1.4,62,8.9,22,3.1,39,5.6,56.5,7,1,23,3.3,4,0.6,7,1,0,0,3,0.4,0,0,3,0.4,2,0.3,5,0.7,1,0.1,17,2.4,2,0.3,0,0,19,2.7,5,0.7,3,0.4,4,0.6,50,7,79
Jasmine Grierson,MELB,48,6.9,29,4.1,77,11,29,4.1,49,7,75.3,12,1.7,17,2.4,1,0.1,1,0.1,0,0,4,0.6,1,0.1,3,0.4,9,1.3,5,0.7,4,0.6,13,1.9,7,1,0,0,6,0.9,1,0.1,0,0,0,0,50,7,80.8
Jenna McCormick,ADEL,29,4.1,14,2,43,6.1,23,3.3,16,2.3,60.5,7,1,6,0.9,1,0.1,4,0.6,0,0,1,0.1,0,0,1,0.1,1,0.1,3,0.4,5,0.7,13,1.9,2,0.3,0,0,8,1.1,4,0.6,2,0.3,0,0,57.1,7,69.1
Jess Bibby,GWS,20,2.9,16,2.3,36,5.1,14,2,20,2.9,55.6,3,0.4,12,1.7,0,0,0,0,0,0,1,0.1,0,0,1,0.1,8,1.1,3,0.4,0,0,16,2.3,2,0.3,0,0,3,0.4,0,0,0,0,0,0,0,7,60.5
Jess Dal Pos,GWS,79,11.3,18,2.6,97,13.9,52,7.4,40,5.7,58.8,8,1.1,14,2,1,0.1,2,0.3,0,0,29,4.1,12,1.7,17,2.4,9,1.3,7,1,3,0.4,49,7,4,0.6,0,0,12,1.7,1,0.1,0,0,1,0.1,100,7,91.4
Jess Gardner,WB,8,1.6,18,3.6,26,5.2,17,3.4,10,2,73.1,8,1.6,1,0.2,0,0,0,0,0,0,4,0.8,0,0,4,0.8,1,0.2,4,0.8,6,1.2,13,2.6,2,0.4,0,0,2,0.4,1,0.2,0,0,1,0.2,100,5,54.1
Jess Hosking,CARL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Anderson,MELB,16,3.2,6,1.2,22,4.4,11,2.2,10,2,59.1,3,0.6,7,1.4,1,0.2,3,0.6,4,0.8,1,0.2,0,0,1,0.2,0,0,3,0.6,2,0.4,10,2,2,0.4,0,0,4,0.8,1,0.2,3,0.6,0,0,25,5,49.6
Jessica Cameron,COLL,45,6.4,12,1.7,57,8.1,33,4.7,27,3.9,70.2,8,1.1,27,3.9,10,1.4,8,1.1,0,0,3,0.4,0,0,3,0.4,3,0.4,3,0.4,2,0.3,17,2.4,11,1.6,2,0.3,13,1.9,6,0.9,3,0.4,3,0.4,66.7,7,80.9
Jessica Kennedy,CARL,18,4.5,12,3,30,7.5,13,3.3,15,3.8,56.7,6,1.5,4,1,0,0,1,0.3,0,0,3,0.8,0,0,3,0.8,3,0.8,3,0.8,3,0.8,4,1,0,0,1,0.3,1,0.3,0,0,0,0,0,0,0,4,63.9
Jessica Sedunary,ADEL,41,5.1,17,2.1,58,7.3,32,4,26,3.3,41.4,24,3,10,1.3,2,0.3,5,0.6,0,0,5,0.6,0,0,5,0.6,0,0,5,0.6,12,1.5,16,2,3,0.4,2,0.3,12,1.5,3,0.4,4,0.5,1,0.1,27.3,8,71.6
Jessica Wuetschner,BL,44,5.5,17,2.1,61,7.6,26,3.3,36,4.5,55.7,11,1.4,16,2,0,0,6,0.8,0,0,4,0.5,0,0,4,0.5,5,0.6,5,0.6,3,0.4,23,2.9,5,0.6,1,0.1,6,0.8,5,0.6,3,0.4,3,0.4,62.5,8,81.6
Jordan Ivey,CARL,10,5,3,1.5,13,6.5,8,4,6,3,69.2,1,0.5,4,2,1,0.5,0,0,0,0,5,2.5,0,0,5,2.5,2,1,2,1,1,0.5,6,3,1,0.5,0,0,3,1.5,1,0.5,0,0,0,0,100,2,66.3
Jordan Membrey,BL,8,1.6,8,1.6,16,3.2,8,1.6,8,1.6,50,5,1,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,2,0.4,2,0.4,8,1.6,1,0.2,0,0,2,0.4,1,0.2,0,0,0,0,100,5,40
Justine Mules,ADEL,17,3.4,17,3.4,34,6.8,26,5.2,6,1.2,32.4,5,1,0,0,0,0,0,0,0,0,5,1,0,0,5,1,1,0.2,2,0.4,3,0.6,26,5.2,4,0.8,0,0,2,0.4,0,0,0,0,0,0,0,5,53.2
Kaitlyn Ashmore,BL,57,7.1,18,2.3,75,9.4,30,3.8,40,5,56,12,1.5,22,2.8,1,0.1,6,0.8,1,0.1,4,0.5,0,0,4,0.5,7,0.9,8,1,5,0.6,12,1.5,7,0.9,2,0.3,23,2.9,2,0.3,4,0.5,4,0.5,22.2,8,78.4
Kara Donnellan,FRE,78,13,23,3.8,101,16.8,54,9,45,7.5,62.4,16,2.7,11,1.8,0,0,1,0.2,1,0.2,25,4.2,6,1,19,3.2,9,1.5,9,1.5,8,1.3,40,6.7,7,1.2,4,0.7,19,3.2,4,0.7,0,0,3,0.5,100,6,90.5
Karen Paxman,MELB,102,14.6,50,7.1,152,21.7,68,9.7,84,12,58.6,23,3.3,27,3.9,2,0.3,4,0.6,1,0.1,23,3.3,3,0.4,20,2.9,17,2.4,7,1,6,0.9,23,3.3,13,1.9,3,0.4,14,2,2,0.3,1,0.1,0,0,50,7,93.1
Kate Darby,CARL,5,2.5,1,0.5,6,3,5,2.5,1,0.5,50,1,0.5,1,0.5,0,0,0,0,0,0,1,0.5,0,0,1,0.5,2,1,0,0,0,0,1,0.5,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,2,54.9
Kate Deegan,BL,3,3,1,1,4,4,2,2,1,1,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,64.9
Kate Lutkins,BL,59,7.4,7,0.9,66,8.3,34,4.3,27,3.4,59.1,14,1.8,12,1.5,2,0.3,1,0.1,4,0.5,4,0.5,0,0,4,0.5,13,1.6,10,1.3,6,0.8,17,2.1,15,1.9,3,0.4,13,1.6,1,0.1,0,0,1,0.1,50,8,79.2
Kate McCarthy,BL,39,4.9,11,1.4,50,6.3,21,2.6,33,4.1,58,15,1.9,9,1.1,1,0.1,3,0.4,0,0,2,0.3,0,0,2,0.3,4,0.5,3,0.4,4,0.5,21,2.6,1,0.1,12,1.5,12,1.5,9,1.1,1,0.1,1,0.1,75,8,70.2
Kate Sheahan,COLL,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.3
Kate Shierlaw,CARL,19,3.2,10,1.7,29,4.8,10,1.7,17,2.8,58.6,10,1.7,11,1.8,2,0.3,3,0.5,7,1.2,1,0.2,0,0,1,0.2,1,0.2,4,0.7,3,0.5,5,0.8,1,0.2,0,0,5,0.8,2,0.3,1,0.2,3,0.5,40,6,58.5
Kate Stanton,GWS,10,2.5,3,0.8,13,3.3,11,2.8,3,0.8,46.2,5,1.3,1,0.3,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,5,1.3,2,0.5,5,1.3,0,0,0,0,3,0.8,1,0.3,1,0.3,1,0.3,50,4,58.8
Kate Tyndall,WB,7,1,21,3,28,4,19,2.7,10,1.4,57.1,12,1.7,4,0.6,0,0,1,0.1,0,0,5,0.7,0,0,5,0.7,0,0,1,0.1,9,1.3,16,2.3,4,0.6,0,0,3,0.4,0,0,1,0.1,2,0.3,0,7,63.2
Katherine Gillespie-Jones,CARL,18,2.6,32,4.6,50,7.1,27,3.9,24,3.4,76,9,1.3,7,1,3,0.4,1,0.1,11,1.6,2,0.3,0,0,2,0.3,4,0.6,2,0.3,6,0.9,16,2.3,19,2.7,0,0,7,1,0,0,1,0.1,1,0.1,0,7,81.7
Katherine Smith,MELB,24,3.4,22,3.1,46,6.6,25,3.6,19,2.7,63,10,1.4,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,6,0.9,5,0.7,4,0.6,16,2.3,12,1.7,0,0,4,0.6,0,0,0,0,0,0,0,7,85
Katie Brennan,WB,19,9.5,7,3.5,26,13,11,5.5,15,7.5,61.5,5,2.5,7,3.5,2,1,3,1.5,2,1,3,1.5,0,0,3,1.5,0,0,3,1.5,3,1.5,8,4,1,0.5,0,0,5,2.5,3,1.5,1,0.5,2,1,50,2,95.7
Katie Loynes,CARL,40,5.7,23,3.3,63,9,41,5.9,20,2.9,65.1,9,1.3,8,1.1,3,0.4,1,0.1,0,0,18,2.6,7,1,11,1.6,3,0.4,10,1.4,4,0.6,27,3.9,8,1.1,0,0,13,1.9,1,0.1,0,0,3,0.4,100,7,73.9
Kellie Gibson,ADEL,38,4.8,16,2,54,6.8,23,2.9,30,3.8,53.7,22,2.8,9,1.1,1,0.1,4,0.5,0,0,0,0,0,0,0,0,3,0.4,8,1,10,1.3,11,1.4,1,0.1,0,0,6,0.8,4,0.5,2,0.3,0,0,36.4,8,71.2
Kelly Clinch,FRE,14,2.3,20,3.3,34,5.7,26,4.3,12,2,47.1,13,2.2,2,0.3,0,0,0,0,37,6.2,3,0.5,1,0.2,2,0.3,4,0.7,2,0.3,4,0.7,15,2.5,4,0.7,0,0,5,0.8,0,0,0,0,0,0,0,6,72.8
Kendra Heil,COLL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiara Bowers,FRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim Mickle,FRE,2,2,0,0,2,2,3,3,0,0,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,34.8
Kimberley Ebb,WB,3,0.8,4,1,7,1.8,5,1.3,3,0.8,42.9,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,1,0.3,2,0.5,5,1.3,2,0.5,0,0,0,0,0,0,0,0,0,0,0,4,58.6
Kira Phillips,FRE,19,3.8,4,0.8,23,4.6,9,1.8,12,2.4,43.5,10,2,8,1.6,2,0.4,3,0.6,0,0,1,0.2,0,0,1,0.2,2,0.4,1,0.2,6,1.2,3,0.6,2,0.4,0,0,5,1,2,0.4,3,0.6,1,0.2,28.6,5,56.8
Kirby Bentley,FRE,48,6.9,24,3.4,72,10.3,31,4.4,38,5.4,65.3,15,2.1,19,2.7,2,0.3,2,0.3,0,0,4,0.6,0,0,4,0.6,10,1.4,6,0.9,6,0.9,4,0.6,7,1,4,0.6,8,1.1,1,0.1,1,0.1,0,0,50,7,89.3
Kirsten McLeod,WB,26,4.3,16,2.7,42,7,24,4,19,3.2,54.8,7,1.2,3,0.5,0,0,2,0.3,0,0,1,0.2,0,0,1,0.2,0,0,5,0.8,2,0.3,14,2.3,6,1,3,0.5,9,1.5,4,0.7,8,1.3,0,0,33.3,6,77.5
Kirsty Lamb,WB,47,7.8,15,2.5,62,10.3,38,6.3,25,4.2,46.8,18,3,6,1,0,0,0,0,0,0,16,2.7,3,0.5,13,2.2,2,0.3,10,1.7,7,1.2,20,3.3,2,0.3,1,0.2,7,1.2,4,0.7,0,0,0,0,80,6,59.9
Kristy De Pellegrini,GWS,8,1.3,10,1.7,18,3,15,2.5,2,0.3,55.6,5,0.8,1,0.2,0,0,0,0,1,0.2,2,0.3,0,0,2,0.3,0,0,3,0.5,3,0.5,8,1.3,10,1.7,0,0,0,0,0,0,0,0,0,0,0,6,75.4
Lara Filocamo,FRE,67,9.6,40,5.7,107,15.3,59,8.4,46,6.6,53.3,16,2.3,12,1.7,0,0,2,0.3,0,0,21,3,9,1.3,12,1.7,3,0.4,9,1.3,5,0.7,31,4.4,3,0.4,1,0.1,9,1.3,1,0.1,2,0.3,0,0,33.3,7,82.2
Laura Attard,CARL,25,3.6,10,1.4,35,5,16,2.3,17,2.4,62.9,10,1.4,7,1,1,0.1,0,0,0,0,1,0.1,0,0,1,0.1,11,1.6,1,0.1,5,0.7,8,1.1,8,1.1,0,0,0,0,0,0,0,0,0,0,0,7,88.6
Laura Bailey,WB,14,2.3,29,4.8,43,7.2,22,3.7,20,3.3,67.4,12,2,6,1,0,0,2,0.3,0,0,3,0.5,1,0.2,2,0.3,1,0.2,5,0.8,8,1.3,10,1.7,6,1,0,0,2,0.3,1,0.2,0,0,0,0,100,6,68.7
Laura Duryea,MELB,54,7.7,10,1.4,64,9.1,23,3.3,31,4.4,57.8,17,2.4,7,1,0,0,0,0,0,0,2,0.3,0,0,2,0.3,16,2.3,2,0.3,7,1,11,1.6,19,2.7,0,0,2,0.3,0,0,0,0,0,0,0,7,94.6
Lauren Arnell,CARL,60,8.6,24,3.4,84,12,52,7.4,35,5,52.4,11,1.6,11,1.6,0,0,3,0.4,0,0,16,2.3,4,0.6,12,1.7,6,0.9,6,0.9,3,0.4,26,3.7,5,0.7,0,0,19,2.7,2,0.3,2,0.3,1,0.1,33.3,7,73.1
Lauren Brazzale,CARL,39,5.6,7,1,46,6.6,26,3.7,18,2.6,60.9,14,2,8,1.1,2,0.3,1,0.1,0,0,5,0.7,2,0.3,3,0.4,6,0.9,2,0.3,4,0.6,15,2.1,3,0.4,0,0,8,1.1,1,0.1,0,0,1,0.1,100,7,67.5
Lauren Morecroft,WB,4,2,3,1.5,7,3.5,4,2,3,1.5,57.1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0.5,0,0,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,2,62.6
Lauren O'Shea,ADEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauren Pearce,MELB,30,4.3,26,3.7,56,8,36,5.1,21,3,50,8,1.1,13,1.9,5,0.7,1,0.1,99,14.1,11,1.6,2,0.3,9,1.3,12,1.7,6,0.9,4,0.6,18,2.6,16,2.3,0,0,8,1.1,0,0,2,0.3,0,0,0,7,65.1
Lauren Spark,WB,36,5.1,20,2.9,56,8,32,4.6,26,3.7,51.8,12,1.7,21,3,8,1.1,1,0.1,7,1,3,0.4,0,0,3,0.4,10,1.4,3,0.4,4,0.6,5,0.7,14,2,0,0,3,0.4,0,0,2,0.3,1,0.1,0,7,92.1
Lauren Tesoriero,COLL,24,4.8,22,4.4,46,9.2,39,7.8,10,2,58.7,8,1.6,7,1.4,2,0.4,1,0.2,1,0.2,18,3.6,3,0.6,15,3,2,0.4,2,0.4,5,1,18,3.6,3,0.6,0,0,4,0.8,0,0,1,0.2,0,0,0,5,53.9
