Player,Club,Kicks_TOT,Kicks_AVG,Handballs_TOT,Handballs_AVG,Disposals_TOT,Disposals_AVG,Cont Poss_TOT,Cont Poss_AVG,Uncont Poss_TOT,Uncont Poss_AVG,Disp eff %_TOT,Clangers_TOT,Clangers_AVG,Marks_TOT,Marks_AVG,Cont marks_TOT,Cont marks_AVG,Marks50_TOT,Marks50_AVG,Hit-outs_TOT,Hit-outs_AVG,Clearances_TOT,Clearances_AVG,Centre clr_TOT,Centre clr_AVG,Stoppages_TOT,Stoppages_AVG,Rebound50_TOT,Rebound50_AVG,Frees For_TOT,Frees For_AVG,Frees Agst_TOT,Frees Agst_AVG,Tackles_TOT,Tackles_AVG,One %s_TOT,One %s_AVG,Bounces_TOT,Bounces_AVG,Inside50_TOT,Inside50_AVG,Goals_TOT,Goals_AVG,Behinds_TOT,Behinds_AVG,Goal assists_TOT,Goal assists_AVG,Goal acc %_TOT,Matches_TOT,Time On Ground %_TOT
Leah Kaslar,BL,28,3.5,29,3.6,57,7.1,43,5.4,13,1.6,56.1,13,1.6,7,0.9,1,0.1,0,0,0,0,2,0.3,0,0,2,0.3,15,1.9,4,0.5,4,0.5,18,2.3,24,3,0,0,1,0.1,0,0,0,0,0,0,0,8,97.2
Libby Birch,WB,24,3.4,28,4,52,7.4,27,3.9,26,3.7,63.5,14,2,3,0.4,1,0.1,0,0,1,0.1,1,0.1,0,0,1,0.1,2,0.3,2,0.3,5,0.7,13,1.9,15,2.1,1,0.1,1,0.1,0,0,0,0,0,0,0,7,76.4
Lily Mithen,MELB,67,9.6,46,6.6,113,16.1,47,6.7,67,9.6,52.2,17,2.4,14,2,0,0,2,0.3,0,0,17,2.4,6,0.9,11,1.6,7,1,16,2.3,5,0.7,19,2.7,5,0.7,2,0.3,12,1.7,0,0,2,0.3,1,0.1,0,7,79.7
Lisa Steane,GWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lisa Williams,WB,10,1.7,14,2.3,24,4,11,1.8,14,2.3,41.7,7,1.2,0,0,0,0,0,0,1,0.2,1,0.2,0,0,1,0.2,3,0.5,1,0.2,3,0.5,13,2.2,6,1,0,0,2,0.3,0,0,0,0,0,0,0,6,59
Lou Wotton,COLL,2,0.7,2,0.7,4,1.3,3,1,2,0.7,0,2,0.7,1,0.3,0,0,0,0,33,11,2,0.7,1,0.3,1,0.3,2,0.7,0,0,1,0.3,5,1.7,3,1,0,0,0,0,0,0,0,0,0,0,0,3,37.4
Louise Stephenson,GWS,10,3.3,6,2,16,5.3,11,3.7,6,2,43.8,4,1.3,4,1.3,3,1,0,0,6,2,2,0.7,0,0,2,0.7,2,0.7,1,0.3,2,0.7,1,0.3,2,0.7,1,0.3,2,0.7,0,0,0,0,0,0,0,3,63
Maddy Collier,GWS,47,6.7,15,2.1,62,8.9,32,4.6,33,4.7,46.8,23,3.3,15,2.1,1,0.1,1,0.1,0,0,8,1.1,1,0.1,7,1,8,1.1,8,1.1,9,1.3,27,3.9,3,0.4,6,0.9,10,1.4,0,0,2,0.3,0,0,0,7,71.5
Madeleine Boyd,MELB,22,3.1,14,2,36,5.1,14,2,22,3.1,50,12,1.7,8,1.1,1,0.1,1,0.1,39,5.6,4,0.6,1,0.1,3,0.4,2,0.3,2,0.3,5,0.7,16,2.3,5,0.7,0,0,7,1,0,0,0,0,0,0,0,7,51.8
Madeline Keryk,CARL,43,7.2,15,2.5,58,9.7,32,5.3,28,4.7,50,25,4.2,5,0.8,0,0,1,0.2,0,0,16,2.7,4,0.7,12,2,8,1.3,2,0.3,13,2.2,19,3.2,2,0.3,0,0,11,1.8,0,0,0,0,2,0.3,0,6,64
Mai Nguyen,GWS,17,5.7,1,0.3,18,6,5,1.7,10,3.3,61.1,2,0.7,5,1.7,0,0,0,0,0,0,1,0.3,0,0,1,0.3,3,1,3,1,1,0.3,1,0.3,1,0.3,0,0,6,2,1,0.3,0,0,0,0,100,3,40.2
Meg Downie,MELB,11,5.5,8,4,19,9.5,13,6.5,9,4.5,57.9,3,1.5,5,2.5,1,0.5,0,0,0,0,3,1.5,0,0,3,1.5,3,1.5,4,2,2,1,3,1.5,2,1,0,0,1,0.5,0,0,0,0,0,0,0,2,91.1
Meg Hutchins,COLL,57,8.1,13,1.9,70,10,25,3.6,38,5.4,72.9,12,1.7,16,2.3,0,0,0,0,1,0.1,1,0.1,0,0,1,0.1,23,3.3,5,0.7,1,0.1,8,1.1,12,1.7,2,0.3,7,1,0,0,0,0,0,0,0,7,88.5
Meg McDonald,WB,9,2.3,7,1.8,16,4,8,2,9,2.3,43.8,2,0.5,9,2.3,2,0.5,6,1.5,7,1.8,1,0.3,0,0,1,0.3,0,0,1,0.3,0,0,3,0.8,2,0.5,0,0,2,0.5,1,0.3,2,0.5,0,0,20,4,86.4
Megan Hunt,BL,61,7.6,28,3.5,89,11.1,41,5.1,50,6.3,58.4,21,2.6,23,2.9,2,0.3,0,0,0,0,13,1.6,3,0.4,10,1.3,7,0.9,8,1,13,1.6,32,4,5,0.6,3,0.4,6,0.8,0,0,0,0,1,0.1,0,8,73.7
Mel Hickey,MELB,36,5.1,45,6.4,81,11.6,37,5.3,49,7,75.3,14,2,19,2.7,2,0.3,1,0.1,0,0,7,1,2,0.3,5,0.7,6,0.9,4,0.6,6,0.9,26,3.7,18,2.6,0,0,10,1.4,1,0.1,0,0,1,0.1,50,7,90.4
Melissa Caulfield,FRE,18,3.6,15,3,33,6.6,19,3.8,15,3,51.5,4,0.8,4,0.8,0,0,0,0,0,0,9,1.8,3,0.6,6,1.2,0,0,3,0.6,2,0.4,20,4,3,0.6,0,0,6,1.2,1,0.2,0,0,0,0,50,5,68.4
Melissa Kuys,COLL,47,7.8,9,1.5,56,9.3,34,5.7,26,4.3,50,18,3,13,2.2,0,0,1,0.2,0,0,12,2,3,0.5,9,1.5,5,0.8,5,0.8,7,1.2,12,2,3,0.5,0,0,7,1.2,0,0,0,0,2,0.3,0,6,57.5
Mia-Rae Clifford,MELB,15,2.1,6,0.9,21,3,15,2.1,7,1,57.1,7,1,1,0.1,0,0,0,0,0,0,2,0.3,0,0,2,0.3,6,0.9,4,0.6,3,0.4,12,1.7,13,1.9,0,0,1,0.1,0,0,0,0,0,0,0,7,82.5
Moana Hope,COLL,29,4.1,7,1,36,5.1,23,3.3,13,1.9,47.2,11,1.6,14,2,5,0.7,10,1.4,0,0,1,0.1,0,0,1,0.1,0,0,4,0.6,4,0.6,6,0.9,2,0.3,2,0.3,5,0.7,7,1,8,1.1,3,0.4,46.7,7,89.7
Monique Hollick,ADEL,12,4,9,3,21,7,12,4,9,3,47.6,2,0.7,3,1,0,0,0,0,0,0,1,0.3,0,0,1,0.3,2,0.7,1,0.3,0,0,8,2.7,2,0.7,0,0,6,2,0,0,0,0,1,0.3,0,3,71.6
Nat Exon,CARL,24,4.8,20,4,44,8.8,22,4.4,26,5.2,52.3,7,1.4,9,1.8,2,0.4,2,0.4,2,0.4,4,0.8,1,0.2,3,0.6,2,0.4,2,0.4,4,0.8,18,3.6,3,0.6,0,0,8,1.6,0,0,3,0.6,1,0.2,0,5,66.2
Natalie Plane,CARL,1,1,0,0,1,1,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.5
Nicola Barr,GWS,55,7.9,23,3.3,78,11.1,30,4.3,45,6.4,53.8,19,2.7,10,1.4,0,0,1,0.1,0,0,9,1.3,2,0.3,7,1,17,2.4,9,1.3,3,0.4,22,3.1,5,0.7,2,0.3,8,1.1,0,0,0,0,2,0.3,0,7,84.5
Nicola Stevens,COLL,50,7.1,17,2.4,67,9.6,39,5.6,28,4,62.7,14,2,23,3.3,7,1,0,0,0,0,2,0.3,0,0,2,0.3,10,1.4,7,1,6,0.9,22,3.1,17,2.4,0,0,4,0.6,0,0,0,0,0,0,0,7,94.6
Nicole Callinan,WB,33,4.7,35,5,68,9.7,36,5.1,39,5.6,64.7,10,1.4,12,1.7,2,0.3,0,0,0,0,6,0.9,2,0.3,4,0.6,8,1.1,3,0.4,4,0.6,14,2,13,1.9,2,0.3,6,0.9,0,0,0,0,1,0.1,0,7,73.5
Nicole Hildebrand,BL,47,5.9,7,0.9,54,6.8,29,3.6,26,3.3,63,15,1.9,18,2.3,6,0.8,0,0,0,0,4,0.5,0,0,4,0.5,10,1.3,3,0.4,6,0.8,10,1.3,10,1.3,1,0.1,7,0.9,0,0,0,0,1,0.1,0,8,67.9
Nikki Wallace,BL,18,2.3,21,2.6,39,4.9,23,2.9,16,2,53.8,13,1.6,5,0.6,1,0.1,1,0.1,0,0,6,0.8,0,0,6,0.8,3,0.4,2,0.3,6,0.8,16,2,1,0.1,0,0,4,0.5,0,0,0,0,0,0,0,8,43.2
Penny Cula-Reid,COLL,5,2.5,0,0,5,2.5,4,2,1,0.5,80,3,1.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0.5,1,0.5,5,2.5,0,0,0,0,0,0,0,0,0,0,0,2,51.7
Pepa Randall,MELB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoebe McWilliams,GWS,25,3.6,17,2.4,42,6,24,3.4,18,2.6,76.2,8,1.1,13,1.9,3,0.4,7,1,8,1.1,4,0.6,0,0,4,0.6,1,0.1,6,0.9,3,0.4,9,1.3,5,0.7,0,0,9,1.3,7,1,1,0.1,0,0,77.8,7,82.3
Rachael Killian,ADEL,28,4.7,9,1.5,37,6.2,21,3.5,17,2.8,48.6,9,1.5,8,1.3,1,0.2,2,0.3,1,0.2,0,0,0,0,0,0,0,0,4,0.7,1,0.2,9,1.5,5,0.8,0,0,9,1.5,2,0.3,3,0.5,2,0.3,22.2,6,74.3
Rebecca Beeson,GWS,38,5.4,35,5,73,10.4,39,5.6,33,4.7,53.4,13,1.9,10,1.4,0,0,5,0.7,0,0,2,0.3,0,0,2,0.3,5,0.7,6,0.9,8,1.1,15,2.1,5,0.7,0,0,8,1.1,3,0.4,2,0.3,0,0,37.5,7,86.9
Rebecca Neaves,WB,11,2.2,8,1.6,19,3.8,5,1,14,2.8,47.4,3,0.6,6,1.2,0,0,1,0.2,0,0,2,0.4,0,0,2,0.4,1,0.2,1,0.2,1,0.2,6,1.2,1,0.2,0,0,2,0.4,0,0,2,0.4,1,0.2,0,5,40.7
Rebecca Privitelli,CARL,29,5.8,9,1.8,38,7.6,17,3.4,21,4.2,55.3,6,1.2,11,2.2,4,0.8,1,0.2,0,0,2,0.4,0,0,2,0.4,6,1.2,1,0.2,0,0,3,0.6,3,0.6,0,0,5,1,1,0.2,0,0,0,0,100,5,55.3
Renee Forth,GWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renee Tomkins,GWS,46,6.6,9,1.3,55,7.9,27,3.9,20,2.9,52.7,19,2.7,14,2,2,0.3,0,0,0,0,3,0.4,0,0,3,0.4,24,3.4,1,0.1,6,0.9,13,1.9,33,4.7,0,0,2,0.3,0,0,0,0,0,0,0,7,98.9
Rhiannon Metcalfe,ADEL,35,4.4,16,2,51,6.4,22,2.8,21,2.6,56.9,12,1.5,9,1.1,3,0.4,2,0.3,136,17,6,0.8,2,0.3,4,0.5,7,0.9,1,0.1,3,0.4,4,0.5,5,0.6,0,0,6,0.8,0,0,1,0.1,0,0,0,8,66.3
Richelle Cranston,MELB,25,4.2,19,3.2,44,7.3,25,4.2,22,3.7,70.5,9,1.5,9,1.5,0,0,1,0.2,2,0.3,4,0.7,0,0,4,0.7,2,0.3,2,0.3,6,1,18,3,8,1.3,0,0,6,1,1,0.2,3,0.5,0,0,20,6,60.6
Romy Timmins,WB,1,0.5,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,1,0.5,1,0.5,0,0,0,0,2,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,2,35.5
Ruby Schleicher,COLL,9,1.8,6,1.2,15,3,8,1.6,6,1.2,40,8,1.6,0,0,0,0,0,0,21,4.2,4,0.8,1,0.2,3,0.6,1,0.2,2,0.4,3,0.6,14,2.8,3,0.6,0,0,2,0.4,0,0,0,0,0,0,0,5,36.8
Sabrina Frederick-Traub,BL,72,9,22,2.8,94,11.8,55,6.9,40,5,50,14,1.8,20,2.5,11,1.4,8,1,58,7.3,6,0.8,3,0.4,3,0.4,1,0.1,12,1.5,5,0.6,15,1.9,6,0.8,3,0.4,22,2.8,6,0.8,4,0.5,4,0.5,35.3,8,98.7
Sally Riley,ADEL,30,3.8,20,2.5,50,6.3,26,3.3,24,3,58,9,1.1,7,0.9,0,0,1,0.1,0,0,6,0.8,1,0.1,5,0.6,2,0.3,5,0.6,3,0.4,18,2.3,4,0.5,0,0,6,0.8,3,0.4,0,0,1,0.1,75,8,66.4
Samantha Virgo,BL,52,6.5,26,3.3,78,9.8,42,5.3,36,4.5,60.3,13,1.6,14,1.8,1,0.1,1,0.1,0,0,1,0.1,0,0,1,0.1,14,1.8,8,1,6,0.8,24,3,10,1.3,0,0,4,0.5,0,0,0,0,0,0,0,8,96.5
Sarah Allan,ADEL,19,3.2,20,3.3,39,6.5,28,4.7,12,2,56.4,6,1,9,1.5,3,0.5,0,0,18,3,9,1.5,5,0.8,4,0.7,2,0.3,3,0.5,3,0.5,9,1.5,7,1.2,1,0.2,4,0.7,0,0,1,0.2,0,0,0,6,54.4
Sarah D'Arcy,COLL,48,6.9,28,4,76,10.9,49,7,26,3.7,60.5,14,2,18,2.6,4,0.6,5,0.7,0,0,7,1,2,0.3,5,0.7,1,0.1,11,1.6,2,0.3,12,1.7,5,0.7,1,0.1,9,1.3,2,0.3,4,0.6,1,0.1,28.6,7,85.2
Sarah Hosking,CARL,35,5,28,4,63,9,34,4.9,33,4.7,58.7,17,2.4,11,1.6,1,0.1,2,0.3,0,0,8,1.1,2,0.3,6,0.9,7,1,8,1.1,7,1,17,2.4,12,1.7,3,0.4,9,1.3,2,0.3,0,0,0,0,66.7,7,83.3
Sarah Jolly,MELB,6,2,6,2,12,4,6,2,7,2.3,83.3,2,0.7,1,0.3,0,0,1,0.3,0,0,4,1.3,0,0,4,1.3,0,0,1,0.3,1,0.3,9,3,0,0,0,0,3,1,1,0.3,0,0,0,0,100,3,32.3
Sarah Lampard,MELB,30,4.3,33,4.7,63,9,34,4.9,28,4,58.7,12,1.7,12,1.7,2,0.3,0,0,0,0,3,0.4,0,0,3,0.4,7,1,4,0.6,3,0.4,17,2.4,2,0.3,0,0,7,1,0,0,1,0.1,1,0.1,0,7,75.1
Sarah Last,CARL,10,3.3,4,1.3,14,4.7,9,3,6,2,78.6,4,1.3,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,1,0.3,3,1,5,1.7,0,0,2,0.7,0,0,0,0,0,0,0,3,79.4
Sarah Perkins,ADEL,43,5.4,24,3,67,8.4,43,5.4,24,3,52.2,13,1.6,18,2.3,8,1,16,2,21,2.6,2,0.3,0,0,2,0.3,0,0,7,0.9,5,0.6,24,3,7,0.9,0,0,11,1.4,11,1.4,8,1,2,0.3,44,8,92.7
Selina Goodman,BL,6,0.8,10,1.3,16,2,14,1.8,6,0.8,50,7,0.9,2,0.3,0,0,0,0,39,4.9,1,0.1,1,0.1,0,0,2,0.3,2,0.3,2,0.3,10,1.3,3,0.4,0,0,2,0.3,0,0,0,0,0,0,0,8,38.8
Shae Audley,CARL,35,5,28,4,63,9,51,7.3,14,2,52.4,9,1.3,4,0.6,1,0.1,0,0,0,0,19,2.7,5,0.7,14,2,4,0.6,8,1.1,4,0.6,39,5.6,7,1,0,0,8,1.1,2,0.3,1,0.1,1,0.1,66.7,7,66.1
Shaleise Law,BL,5,1.7,0,0,5,1.7,0,0,4,1.3,40,1,0.3,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,3,34.4
Shannon Campbell,BL,45,6.4,8,1.1,53,7.6,29,4.1,17,2.4,50.9,11,1.6,14,2,5,0.7,0,0,0,0,1,0.1,0,0,1,0.1,17,2.4,4,0.6,4,0.6,6,0.9,13,1.9,2,0.3,5,0.7,1,0.1,0,0,0,0,100,7,83.4
Sharni Webb,BL,31,3.9,26,3.3,57,7.1,43,5.4,16,2,52.6,17,2.1,8,1,1,0.1,1,0.1,61,7.6,10,1.3,2,0.3,8,1,6,0.8,8,1,8,1,27,3.4,7,0.9,0,0,9,1.1,0,0,0,0,0,0,0,8,57.2
Shelley Scott,MELB,41,6.8,24,4,65,10.8,34,5.7,31,5.2,63.1,14,2.3,16,2.7,4,0.7,6,1,0,0,7,1.2,1,0.2,6,1,0,0,4,0.7,4,0.7,13,2.2,6,1,2,0.3,11,1.8,5,0.8,2,0.3,2,0.3,62.5,6,88.3
Sophie Armitstead,ADEL,3,3,2,2,5,5,3,3,2,2,80,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,42.3
Sophie Casey,COLL,7,1.4,13,2.6,20,4,14,2.8,8,1.6,60,12,2.4,7,1.4,1,0.2,1,0.2,0,0,3,0.6,1,0.2,2,0.4,0,0,2,0.4,9,1.8,13,2.6,1,0.2,0,0,3,0.6,1,0.2,0,0,0,0,100,5,66.3
Stacey Barr,FRE,34,4.9,13,1.9,47,6.7,23,3.3,26,3.7,40.4,14,2,21,3,5,0.7,11,1.6,6,0.9,0,0,0,0,0,0,2,0.3,4,0.6,7,1,6,0.9,4,0.6,0,0,12,1.7,3,0.4,7,1,0,0,23.1,7,67.6
Stacey Livingstone,COLL,43,6.1,8,1.1,51,7.3,21,3,28,4,58.8,15,2.1,16,2.3,0,0,0,0,0,0,2,0.3,0,0,2,0.3,13,1.9,1,0.1,3,0.4,8,1.1,10,1.4,0,0,5,0.7,0,0,0,0,1,0.1,0,7,84.8
Stephanie Cain,FRE,23,3.8,19,3.2,42,7,24,4,19,3.2,47.6,16,2.7,9,1.5,1,0.2,0,0,0,0,7,1.2,0,0,7,1.2,5,0.8,4,0.7,8,1.3,22,3.7,0,0,0,0,1,0.2,0,0,1,0.2,0,0,0,6,62.8
Stephanie Chiocci,COLL,50,7.1,18,2.6,68,9.7,29,4.1,41,5.9,66.2,18,2.6,9,1.3,0,0,0,0,0,0,11,1.6,4,0.6,7,1,3,0.4,8,1.1,11,1.6,21,3,3,0.4,0,0,10,1.4,1,0.1,2,0.3,2,0.3,33.3,7,82.5
Stephanie De Bortoli,MELB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephanie Walker,GWS,11,3.7,3,1,14,4.7,7,2.3,7,2.3,35.7,7,2.3,2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,4,1.3,1,0.3,1,0.3,5,1.7,1,0.3,0,0,1,0.3,33.3,3,51
Stevie-Lee Thompson,ADEL,41,5.1,17,2.1,58,7.3,36,4.5,20,2.5,63.8,12,1.5,2,0.3,0,0,0,0,1,0.1,5,0.6,0,0,5,0.6,11,1.4,3,0.4,5,0.6,11,1.4,8,1,1,0.1,13,1.6,0,0,0,0,1,0.1,0,8,76.2
Tahlia Randall,BL,32,4.6,11,1.6,43,6.1,21,3,20,2.9,55.8,12,1.7,14,2,2,0.3,0,0,3,0.4,1,0.1,0,0,1,0.1,15,2.1,3,0.4,4,0.6,12,1.7,16,2.3,1,0.1,7,1,0,0,0,0,0,0,0,7,81.1
Tahni Nestor,CARL,8,2.7,10,3.3,18,6,15,5,5,1.7,77.8,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,1,0.3,8,2.7,3,1,0,0,1,0.3,0,0,0,0,0,0,0,3,91.1
Talia Radan,ADEL,28,3.5,18,2.3,46,5.8,28,3.5,17,2.1,58.7,17,2.1,7,0.9,1,0.1,0,0,0,0,3,0.4,0,0,3,0.4,10,1.3,5,0.6,6,0.8,7,0.9,14,1.8,0,0,3,0.4,0,0,0,0,0,0,0,8,74.5
Tara Morgan,COLL,29,4.1,8,1.1,37,5.3,19,2.7,19,2.7,43.2,11,1.6,11,1.6,3,0.4,0,0,0,0,3,0.4,0,0,3,0.4,5,0.7,6,0.9,3,0.4,20,2.9,7,1,3,0.4,3,0.4,0,0,0,0,0,0,0,7,86.3
Tarnica Golisano,FRE,7,1.8,6,1.5,13,3.3,6,1.5,7,1.8,53.8,6,1.5,4,1,0,0,0,0,0,0,1,0.3,0,0,1,0.3,2,0.5,1,0.3,4,1,8,2,4,1,0,0,2,0.5,0,0,0,0,0,0,0,4,41.7
Taryn Priestly,FRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayla Bresland,FRE,21,3,7,1,28,4,15,2.1,16,2.3,50,13,1.9,8,1.1,1,0.1,0,0,0,0,0,0,0,0,0,0,5,0.7,1,0.1,7,1,13,1.9,15,2.1,0,0,3,0.4,1,0.1,0,0,0,0,100,7,77.6
Tayla Harris,BL,45,5.6,11,1.4,56,7,42,5.3,14,1.8,42.9,36,4.5,23,2.9,17,2.1,10,1.3,5,0.6,4,0.5,0,0,4,0.5,4,0.5,8,1,19,2.4,16,2,6,0.8,0,0,9,1.1,4,0.5,9,1.1,0,0,23.5,8,98.3
Tayla Thorn,ADEL,17,3.4,8,1.6,25,5,12,2.4,10,2,36,15,3,2,0.4,0,0,0,0,3,0.6,2,0.4,0,0,2,0.4,3,0.6,2,0.4,6,1.2,21,4.2,2,0.4,0,0,7,1.4,0,0,0,0,1,0.2,0,5,55.1
Taylah Angel,FRE,14,3.5,4,1,18,4.5,15,3.8,3,0.8,44.4,3,0.8,0,0,0,0,0,0,0,0,7,1.8,4,1,3,0.8,2,0.5,5,1.3,2,0.5,14,3.5,0,0,0,0,3,0.8,0,0,0,0,0,0,0,4,48.9
Tiah Haynes,FRE,13,4.3,6,2,19,6.3,7,2.3,12,4,52.6,7,2.3,2,0.7,0,0,0,0,0,0,1,0.3,0,0,1,0.3,0,0,0,0,2,0.7,5,1.7,1,0.3,2,0.7,1,0.3,0,0,0,0,0,0,0,3,69.8
Tiarna Ernst,WB,11,1.6,30,4.3,41,5.9,31,4.4,12,1.7,80.5,12,1.7,2,0.3,0,0,0,0,90,12.9,8,1.1,3,0.4,5,0.7,4,0.6,10,1.4,8,1.1,29,4.1,11,1.6,0,0,4,0.6,0,0,0,0,1,0.1,0,7,69.2
Tilly Lucas-Rodd,CARL,49,7,24,3.4,73,10.4,28,4,47,6.7,54.8,13,1.9,10,1.4,0,0,1,0.1,1,0.1,5,0.7,1,0.1,4,0.6,6,0.9,1,0.1,3,0.4,18,2.6,5,0.7,0,0,9,1.3,0,0,1,0.1,1,0.1,0,7,61.9
