STUDENT_CODE,Proj GROUP,Topic
28290968, I !!!,
29708761,A,"Thinking about looking at AFL player statistics. We can use many sources including but not limited to:
https://afltables.com/afl/afl_index.html
https://www.afl.com.au/stats/stats-pro#/
https://www.foxsports.com.au/afl/stats/players
https://www.footywire.com/
https://finalsiren.com/"
29695910,A,
28584562,B,"World Income, Inequality and Murder"
26456982,B,
29233313,B,
28102282,B,
27804623,C,
27840700,C,employment & work hours; global internet speeds
27801594,C,
28720091,D,Apple Inc. (Iphone sales change in different countries or in different year
28723201,D,
28791061,E,"Use ABS data to investigate about unemployment, migrants, household data; Demographics of Melbourne; Demographics of Australia;House prices in areas; Migrants, Religion, Income"
27826457,E,
27858669,E,
29510651,Electric R,"https://data.marinemammals.gov.au/nmmdb
https://www.ato.gov.au/Rates/Foreign-exchange-rates/
http://rs.io/100-interesting-data-sets-for-statistics/"
28714172,Electric R,
29657695,Electric R,
25195743,Electric R,
28754131,F,"Melbourne pop growth

Public transport data: https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.data.vic.gov.au%2Fdata%2Fdataset%2Ftrain-station-entries-2008-09-to-2011-12-new%3Ffbclid%3DIwAR0yG4FIkNL6Vb4zdPcwayQQWObgQkP1WVrdehRzJaRT5VGN52Xa_Ba3sD8&h=AT23Gt2R4jSWX5G6Pd19CY9wFSFdgza42lzz8suZk9V7r_21-PiUjw7R6ZuI_m74XDdk6V85M8RZ3fUUdDvu_2OMS3_ZfUEdg89-UdmpHUleve6LUNfcwVw37cu2fMYDhAE

housing costs: https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.kaggle.com%2Fanthonypino%2Fmelbourne-housing-market%3Ffbclid%3DIwAR2r05DUgehVufuZjiiffPGAKCjM2t0ANTMi3EG9YUN00XEuO0dkSj7NLeU&h=AT23Gt2R4jSWX5G6Pd19CY9wFSFdgza42lzz8suZk9V7r_21-PiUjw7R6ZuI_m74XDdk6V85M8RZ3fUUdDvu_2OMS3_ZfUEdg89-UdmpHUleve6LUNfcwVw37cu2fMYDhAE

traffic congestion: https://l.facebook.com/l.php?u=https%3A%2F%2Fvicroadsopendata-vicroadsmaps.opendata.arcgis.com%2Fsearch%3Ftags%3DTraffic%2520open%2520data%26fbclid%3DIwAR0Vo04qK4MkmGjfsUge0BnzwbcnCHnKwLRw1Gt5Hxx462iQc-_AP_fp8mA&h=AT23Gt2R4jSWX5G6Pd19CY9wFSFdgza42lzz8suZk9V7r_21-PiUjw7R6ZuI_m74XDdk6V85M8RZ3fUUdDvu_2OMS3_ZfUEdg89-UdmpHUleve6LUNfcwVw37cu2fMYDhAE"
29720036,F,
28739019,F,
30118611,FORCATS,"https://catalog.data.gov/dataset/2017-green-taxi-trip-data

https://databank.worldbank.org/data/reports.aspx?source=world-development-indicators"
29228794,FORCATS,
29233089,FORCATS,
29775329,FORCATS,
28385934,G,"Champions league, soccer data, premier league data, maybe analysing specific teams, how the datas in a game such as the heat map in a field shows how a team strategy is playing, also combing it with the weather effects and more. Another alternatives would be topic about online social media numbers/traffic on social media websites and how it influences human daily life."
30114152,G,
29658055,GROUP_FIVE,"Supermarkets, Airfare data, hotel prices vs apartment prices vs airbnb prices in tokyo, PTV delays "
29616603,GROUP_FIVE,
29202167,GROUP_FIVE,
28123956,GROUP_FIVE,
29621348,H,"https://tradingeconomics.com/united-states/total-current-account-balance-for-the-united-states-fed-data.html - The current account balance of the US
https://fred.stlouisfed.org/series/RTFPNAUSA632NRUG - The US TFP parameter (solow residual)"
26918544,H,
28636287,H ,
27135519,Hardworking,"Spotify users and music trend, based on location and (maybe gender, and age group if possible)"
29976774,Hardworking,
29412129,Hardworking,
29070627,Hardworking,
27852563,incRRRedible,"https://rdrr.io/github/skoval/deuce/ Analysis of Tennis data; Surface on tennis performance, Rankings analysis; Analysis of stats (winners, unforced errors etc.)"
27791025,incRRRedible,
28837150,incRRRedible,
28738330,incRRRedible,
28987454,J,"demographics of sugar babies 
change in music tastes over time
digital waste
social media usage
food sustainability
The importance of Disney in childhood development
Crime rates in Clayton"
30029759,J,
28723104,J,
29352517,J,
28740645,K,https://data.gov.au/dataset/ds-dga-5076fbb3-4cbb-47f4-9121-8e8207744f4b/details?q=
27823822,K,"""https://www.abs.gov.au/websitedbs/D3310114.nsf/Home/Census?OpenDocument&ref=topBar

https://www.australianretailindex.com.au

https://www.statista.com/topics/1145/internet-usage-worldwide/"""
28787781,K,
28247353,Lubridate,"Food Waste, Biodiversity and Airbnb"
28710452,Lubridate,
29676088,Lubridate,
25119664,Lubridate,
29430933,MDJLLSPHPL,https://docs.google.com/spreadsheets/d/1wZhPLMCHKJvwOkP4juclhjFgqIY8fQFMemwKL2c64vk/edit?#gid=0
27842967,MDJLLSPHPL,
29812089,MDJLLSPHPL,
26882167,MDJLLSPHPL,
26926423,Not the Swallows!,"Uber eats, something bird related, food"
25949985,Not the Swallows!,
25994360,Not the Swallows!,
28767381,Not the Swallows!,
25945874,Python>R,"ASX stock data, WHO data (http://apps.who.int/gho/data/view.main.CM1320N?lang=en)"
27809250,Python>R,
28755960,Python>R,
28748336,Python>R,
28808398,S.T.M,"-Uber eats 
-Afl
-banking acc spending/saving 
-PTV
-speed cameras victoria - https://www.data.vic.gov.au/"
29753546,S.T.M,
30656354,S.T.M,
28809513,Team S.T.A.T.,"Marvel Studios Movie Data: https://www.opusdata.com 
Rental and Tenants Data: https://www.realestate.com.au/invest/house-in-melbourne,+vic+3000"
26917831,Team S.T.A.T.,
28743792,Team S.T.A.T.,
29906369,Team S.T.A.T.,
25183737,Team SAMY,"We are interested in analysing NBA statistics such as scoring, win %, team cost, etc. We have found multiple sources including;
https://stats.nba.com"
28526570,Team SAMY,
25188437,Team SAMY,
26951215,Team SAMY,
29669278,The King Baboon,America And China Trade war (affected on imports and export)
29928672,The King Baboon,
29672031,The King Baboon,
28620496,The King Baboon,
28780655,,